trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",30,0,-167.47438015016445,"{0: 15, 1: 3, 2: 7, 3: 5, 4: 0}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",25,0,-173.50379610019561,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",30,0,-179.40373623084918,"{0: 17, 1: 6, 2: 3, 3: 1, 4: 3}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",25,0,-248.93729292190602,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 5}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",20,0,-72.57149473716485,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",20,0,-101.34874095071093,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",25,0,-139.13400934208906,"{0: 13, 1: 5, 2: 3, 3: 3, 4: 1}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",25,0,-137.83136626554537,"{0: 13, 1: 5, 2: 3, 3: 3, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",20,0,-80.40657868824165,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780257}",30,0,-226.0281494847215,"{0: 16, 1: 4, 2: 6, 3: 0, 4: 4}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",20,0,-33.77521593253076,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",20,0,-151.6623300978783,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",20,0,-110.96605897042416,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",20,0,-138.11644156834268,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",20,0,-18.449570107654775,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",25,0,-150.92974240126833,"{0: 11, 1: 4, 2: 8, 3: 1, 4: 1}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",25,0,-193.1091696461984,"{0: 10, 1: 3, 2: 7, 3: 4, 4: 1}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",20,0,-44.09506206817113,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",20,0,-83.54585675705678,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",35,0,-239.37275496194138,"{0: 18, 1: 4, 2: 8, 3: 2, 4: 3}",0
21,False,"{'a': 0.01, 'e': 0.9780309147241483}",25,0,-93.75261899036327,"{0: 14, 1: 1, 2: 10, 3: 0, 4: 0}",0
22,False,"{'a': 0.01, 'e': 0.9758974493306055}",25,0,-113.19765602985153,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
23,False,"{'a': 0.01, 'e': 0.9736663950053749}",25,0,-205.62213978508703,"{0: 13, 1: 1, 2: 6, 3: 2, 4: 3}",0
24,False,"{'a': 0.01, 'e': 0.9713379748520297}",20,0,-185.9461055623406,"{0: 11, 1: 0, 2: 4, 3: 2, 4: 3}",0
25,False,"{'a': 0.01, 'e': 0.9689124217106447}",20,0,-115.16953646818935,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
