trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-133.6550708035954,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,9,-54.76101527198059,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 1}",1
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-143.60817143934676,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-143.47721907077315,"{0: 8, 1: 4, 2: 5, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-72.0788774409916,"{0: 10, 1: 5, 2: 4, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-85.84953827132071,"{0: 20, 1: 2, 2: 6, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-197.74425305417617,"{0: 17, 1: 3, 2: 6, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-146.62541781693366,"{0: 18, 1: 2, 2: 6, 3: 3, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-87.12009957967717,"{0: 14, 1: 5, 2: 4, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-21.553833736170446,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-119.49547278080543,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-42.20376145625813,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-198.4318555816967,"{0: 8, 1: 3, 2: 5, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,2,-2.5963472759013344,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-86.48868779345173,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-58.90260715748437,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-256.36522462366844,"{0: 11, 1: 1, 2: 8, 3: 1, 4: 4}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-112.28796302536774,"{0: 11, 1: 9, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-76.55103151082997,"{0: 16, 1: 6, 2: 2, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-149.1980781895085,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-168.30324990405234,"{0: 15, 1: 5, 2: 7, 3: 2, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",35,0,-308.6339048124105,"{0: 18, 1: 2, 2: 7, 3: 4, 4: 4}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,9,-30.458536409456016,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-73.16017192455219,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-140.66436893127,"{0: 13, 1: 3, 2: 6, 3: 2, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,8,-92.69409460473182,"{0: 6, 1: 3, 2: 7, 3: 1, 4: 0}",1
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-113.05855672588818,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-61.72339278964493,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-205.33923440756098,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 5}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-167.95864789224905,"{0: 8, 1: 4, 2: 4, 3: 2, 4: 2}",0
